# Catchment area in km^2
Catchment,Area
YUB_01_0500,53.141
YUB_08_2750,3.4159
YUB_04_0500,91.119
YUB_05_1000,107.7
YUB_04_0750,94.873
YUB_01_0750,64.64
YUB_01_1000,33.873
YUB_05_0750,28.26
YUB_02_1000,4.5445
YUB_02_1250,19.737
YUB_02_1500,11.502
YUB_06_1750,4.83
YUB_06_2000,0.03
YUB_06_1500,1.71
YUB_08_2000,6.2386
YUB_03_1250,1.1931
YUB_03_1500,8.9604
YUB_19_1250,4.6244
YUB_04_1000,28.655
YUB_05_1250,95.594
YUB_05_1500,73.818
YUB_05_1750,51.65
YUB_08_2500,29.995
YUB_05_2000,40.932
YUB_08_2250,40.295
YUB_07_2250,99.702
YUB_07_2500,36.484
YUB_07_1750,33.733
YUB_07_2000,57.486
YUB_01_1250,21.32
YUB_09_2000,10.207
YUB_09_2250,3.973
YUB_10_1750,6.206
YUB_10_2000,17.809
YUB_10_2250,30.321
YUB_10_2500,4.6127
YUB_11_1750,0.65911
YUB_11_2000,7.5676
YUB_11_2250,6.0214
YUB_11_2500,1.1989
YUB_12_0750,84.65
YUB_12_1000,36.506
YUB_12_1250,8.1996
YUB_12_0500,13.744
YUB_13_0750,1.5259
YUB_13_1000,9.9815
YUB_13_1250,30.906
YUB_13_1500,22.429
YUB_13_1750,10.445
YUB_14_1000,24.754
YUB_14_1250,57.41
YUB_14_1500,68.04
YUB_14_1750,53.204
YUB_14_2000,47.628
YUB_14_2250,19.986
YUB_15_1750,0.60374
YUB_15_2000,5.2957
YUB_15_2250,0.19013
YUB_16_2000,27.04
YUB_16_2250,55.379
YUB_16_2500,14.406
YUB_17_0750,64.634
YUB_17_1000,126.41
YUB_17_1250,92.262
YUB_17_1500,90.744
YUB_17_1750,57.91
YUB_17_2000,36.433
YUB_18_1000,2.2507
YUB_18_1250,15.008
YUB_19_1500,42.172
YUB_19_1750,52.136
YUB_19_2000,23.269
YUB_19_2250,5.5199
YUB_20_1000,19.069
YUB_20_1250,62.596
YUB_20_1500,99.471
YUB_20_1750,121.47
YUB_20_2000,163.34
YUB_20_2250,147.01
YUB_20_2500,33.907
YUB_21_0500,58.412
YUB_22_0500,99.381
YUB_23_0500,40.002
YUB_23_0750,83.773
YUB_23_1000,59.47
YUB_24_1750,4.16
YUB_24_2000,11.38
YUB_25_2250,0.09
YUB_25_1750,1.98
YUB_25_2000,2.91
YUB_24_2250,5.28
