date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
1/1/2005,69.75815,69.64013,65.98237,54.3694,41.38692,2.85939,14.53681,0.001,3.73555,21.82629,21.3795,29.47689,50.05153,47.25335,17.16465,8.01166,4.04777,37.52596,48.20737,55.20661,68.76476,77.98743,54.60837,38.86315
1/2/2005,57.71578,39.96375,18.83785,26.85363,34.53736,25.25669,37.30551,16.13474,27.44762,33.75055,52.90107,68.217,59.07809,85.05138,60.02467,57.68437,49.43311,48.04455,44.96709,70.96814,73.86606,93.23088,59.09223,51.33651
1/3/2005,41.41925,24.3843,18.71893,31.39714,11.71717,24.23593,60.19551,105.92105,113.52301,98.85961,70.73651,59.88281,54.64996,59.93504,59.5879,58.00685,46.48994,80.35187,44.25252,45.49633,69.34238,92.4997,68.42372,78.58174
1/4/2005,37.14807,52.5749,53.001,51.38536,45.09094,69.8198,62.38967,66.40468,83.20912,53.03338,117.78608,70.28365,53.62428,47.93177,44.92362,35.67448,49.08664,92.83797,88.78252,78.64043,53.85041,56.83037,50.39579,63.52869
1/5/2005,53.79325,48.8839,51.69675,47.51866,46.01714,51.87986,55.55689,74.45704,58.43434,50.25325,59.5844,54.7989,49.48829,61.81753,43.33711,82.16958,12.54643,76.75218,46.22835,49.71181,45.74382,56.99098,65.28312,55.5536
1/6/2005,56.1718,57.46814,45.14161,38.84006,34.87187,20.40408,61.90475,53.54946,47.1767,57.21985,50.56326,49.96494,44.94014,46.158,48.84684,44.08274,42.6279,97.10297,74.8913,57.87135,50.71855,57.68133,67.45108,50.76156
1/7/2005,57.22576,52.9811,47.78544,50.98154,39.53861,69.1864,92.88497,91.28679,44.46478,92.07201,102.30923,72.28338,97.28326,66.30184,61.12233,45.763,42.33645,43.209,54.13497,61.55413,65.68628,55.84335,73.34005,28.32445
1/8/2005,44.13506,56.23361,18.90015,10.65057,42.03021,18.65181,46.9674,9.10654,24.43335,36.68245,54.92393,32.91037,41.71362,32.62016,35.53872,33.93206,28.82304,47.07874,47.84076,68.16135,66.93656,63.66508,38.47599,33.17051
1/9/2005,28.74818,28.66165,28.72303,17.4883,36.71974,33.81356,31.47627,29.97692,39.54758,51.34612,59.10455,49.08879,51.66414,34.78026,31.86181,44.31526,52.40502,42.57023,45.43145,53.47118,41.80075,37.13976,29.68623,19.37153
1/10/2005,51.12614,15.42739,7.40372,41.28673,8.7296,19.30457,34.28102,77.53972,30.28005,63.1479,82.411,82.411,82.411,81.98745,58.51549,54.67448,58.37618,58.34333,52.58385,52.25667,44.48929,33.43932,29.60985,4.73639
1/11/2005,30.8256,39.95326,11.648,0.37304,14.00839,7.99226,19.31362,45.77008,2.94124,33.50891,25.07919,34.98716,44.32051,35.2443,38.62801,32.26259,35.83642,51.99894,54.36677,42.95742,38.91843,33.22848,35.05166,26.64124
1/12/2005,58.9906,59.64523,52.55731,42.56859,51.17368,42.91053,74.54238,60.23968,48.73242,51.12433,55.45004,49.58897,48.34415,49.00745,42.28745,42.05517,42.71861,53.67892,57.63495,55.96178,54.56872,27.17222,39.80571,40.05772
1/13/2005,28.47327,52.63126,55.001,54.3432,54.59587,61.28547,161.75695,61.64197,58.06134,63.74678,65.02986,57.81403,62.60046,61.5026,61.73494,57.36729,102.14673,178.685,81.84903,55.6599,48.1861,34.88538,48.52158,25.47102
1/14/2005,67.43803,57.60328,37.04434,39.72695,44.42639,88.51539,166.21294,56.51204,59.25106,61.91444,61.4399,57.8213,78.11627,47.21364,57.28225,56.60626,53.66644,95.60788,69.40484,62.14299,49.61338,47.97286,52.62121,81.28617
1/15/2005,69.83897,50.58536,91.04664,55.41093,55.7802,40.53507,47.21616,14.59827,20.12899,41.78543,40.21044,42.09659,39.89541,38.8329,33.31578,39.62448,16.16698,59.02306,49.28409,52.83025,56.77909,57.17404,33.99531,79.28068
1/16/2005,98.68918,22.69017,8.63283,4.31223,8.71997,43.62833,18.10885,27.62236,85.25711,48.16125,35.41052,31.79689,39.77056,28.5333,12.26408,60.04432,45.09607,31.69416,47.02637,37.6076,48.72488,49.78924,45.22689,90.9391
1/17/2005,23.87124,21.19434,23.69472,35.21483,22.03151,62.17222,23.72311,33.0536,27.24933,41.58554,63.32712,53.91913,53.6705,51.15513,45.77909,48.51044,35.65641,144.69148,155.06713,74.52266,28.76221,35.79095,36.21346,19.80292
1/18/2005,11.12416,66.47212,44.37573,3.11526,18.06435,58.52326,73.46317,37.5429,52.53078,51.93323,79.74686,111.87683,96.70629,88.47586,165.00101,65.42826,58.50629,107.12165,101.92117,73.78649,27.84409,33.56256,35.06336,34.00054
