Year,Month,Day,Hour,Historical
2005,1,1,1,69.75815
2005,1,1,2,69.64013
2005,1,1,3,65.98237
2005,1,1,4,54.3694
2005,1,1,5,41.38692
2005,1,1,6,2.85939
2005,1,1,7,14.53681
2005,1,1,8,0.001
2005,1,1,9,3.73555
2005,1,1,10,21.82629
2005,1,1,11,21.3795
2005,1,1,12,29.47689
2005,1,1,13,50.05153
2005,1,1,14,47.25335
2005,1,1,15,17.16465
2005,1,1,16,8.01166
2005,1,1,17,4.04777
2005,1,1,18,37.52596
2005,1,1,19,48.20737
2005,1,1,20,55.20661
2005,1,1,21,68.76476
2005,1,1,22,77.98743
2005,1,1,23,54.60837
2005,1,1,24,38.86315
2005,1,2,1,57.71578
2005,1,2,2,39.96375
2005,1,2,3,18.83785
2005,1,2,4,26.85363
2005,1,2,5,34.53736
2005,1,2,6,25.25669
2005,1,2,7,37.30551
2005,1,2,8,16.13474
2005,1,2,9,27.44762
2005,1,2,10,33.75055
2005,1,2,11,52.90107
2005,1,2,12,68.217
2005,1,2,13,59.07809
2005,1,2,14,85.05138
2005,1,2,15,60.02467
2005,1,2,16,57.68437
2005,1,2,17,49.43311
2005,1,2,18,48.04455
2005,1,2,19,44.96709
2005,1,2,20,70.96814
2005,1,2,21,73.86606
2005,1,2,22,93.23088
2005,1,2,23,59.09223
2005,1,2,24,51.33651
2005,1,3,1,41.41925
2005,1,3,2,24.3843
2005,1,3,3,18.71893
2005,1,3,4,31.39714
2005,1,3,5,11.71717
2005,1,3,6,24.23593
2005,1,3,7,60.19551
2005,1,3,8,105.92105
2005,1,3,9,113.52301
2005,1,3,10,98.85961
2005,1,3,11,70.73651
2005,1,3,12,59.88281
2005,1,3,13,54.64996
2005,1,3,14,59.93504
2005,1,3,15,59.5879
2005,1,3,16,58.00685
2005,1,3,17,46.48994
2005,1,3,18,80.35187
2005,1,3,19,44.25252
2005,1,3,20,45.49633
2005,1,3,21,69.34238
2005,1,3,22,92.4997
2005,1,3,23,68.42372
2005,1,3,24,78.58174
2005,1,4,1,37.14807
2005,1,4,2,52.5749
2005,1,4,3,53.001
2005,1,4,4,51.38536
2005,1,4,5,45.09094
2005,1,4,6,69.8198
2005,1,4,7,62.38967
2005,1,4,8,66.40468
2005,1,4,9,83.20912
2005,1,4,10,53.03338
2005,1,4,11,117.78608
2005,1,4,12,70.28365
2005,1,4,13,53.62428
2005,1,4,14,47.93177
2005,1,4,15,44.92362
2005,1,4,16,35.67448
2005,1,4,17,49.08664
2005,1,4,18,92.83797
2005,1,4,19,88.78252
2005,1,4,20,78.64043
2005,1,4,21,53.85041
2005,1,4,22,56.83037
2005,1,4,23,50.39579
2005,1,4,24,63.52869
2005,1,5,1,53.79325
2005,1,5,2,48.8839
2005,1,5,3,51.69675
2005,1,5,4,47.51866
2005,1,5,5,46.01714
2005,1,5,6,51.87986
2005,1,5,7,55.55689
2005,1,5,8,74.45704
2005,1,5,9,58.43434
2005,1,5,10,50.25325
2005,1,5,11,59.5844
2005,1,5,12,54.7989
2005,1,5,13,49.48829
2005,1,5,14,61.81753
2005,1,5,15,43.33711
2005,1,5,16,82.16958
2005,1,5,17,12.54643
2005,1,5,18,76.75218
2005,1,5,19,46.22835
2005,1,5,20,49.71181
2005,1,5,21,45.74382
2005,1,5,22,56.99098
2005,1,5,23,65.28312
2005,1,5,24,55.5536
2005,1,6,1,56.1718
2005,1,6,2,57.46814
2005,1,6,3,45.14161
2005,1,6,4,38.84006
2005,1,6,5,34.87187
2005,1,6,6,20.40408
2005,1,6,7,61.90475
2005,1,6,8,53.54946
2005,1,6,9,47.1767
2005,1,6,10,57.21985
2005,1,6,11,50.56326
2005,1,6,12,49.96494
2005,1,6,13,44.94014
2005,1,6,14,46.158
2005,1,6,15,48.84684
2005,1,6,16,44.08274
2005,1,6,17,42.6279
2005,1,6,18,97.10297
2005,1,6,19,74.8913
2005,1,6,20,57.87135
2005,1,6,21,50.71855
2005,1,6,22,57.68133
2005,1,6,23,67.45108
2005,1,6,24,50.76156
2005,1,7,1,57.22576
2005,1,7,2,52.9811
2005,1,7,3,47.78544
2005,1,7,4,50.98154
2005,1,7,5,39.53861
2005,1,7,6,69.1864
2005,1,7,7,92.88497
2005,1,7,8,91.28679
2005,1,7,9,44.46478
2005,1,7,10,92.07201
2005,1,7,11,102.30923
2005,1,7,12,72.28338
2005,1,7,13,97.28326
2005,1,7,14,66.30184
2005,1,7,15,61.12233
2005,1,7,16,45.763
2005,1,7,17,42.33645
2005,1,7,18,43.209
2005,1,7,19,54.13497
2005,1,7,20,61.55413
2005,1,7,21,65.68628
2005,1,7,22,55.84335
2005,1,7,23,73.34005
2005,1,7,24,28.32445
2005,1,8,1,44.13506
2005,1,8,2,56.23361
2005,1,8,3,18.90015
2005,1,8,4,10.65057
2005,1,8,5,42.03021
2005,1,8,6,18.65181
2005,1,8,7,46.9674
2005,1,8,8,9.10654
2005,1,8,9,24.43335
2005,1,8,10,36.68245
2005,1,8,11,54.92393
2005,1,8,12,32.91037
2005,1,8,13,41.71362
2005,1,8,14,32.62016
2005,1,8,15,35.53872
2005,1,8,16,33.93206
2005,1,8,17,28.82304
2005,1,8,18,47.07874
2005,1,8,19,47.84076
2005,1,8,20,68.16135
2005,1,8,21,66.93656
2005,1,8,22,63.66508
2005,1,8,23,38.47599
2005,1,8,24,33.17051
2005,1,9,1,28.74818
2005,1,9,2,28.66165
2005,1,9,3,28.72303
2005,1,9,4,17.4883
2005,1,9,5,36.71974
2005,1,9,6,33.81356
2005,1,9,7,31.47627
2005,1,9,8,29.97692
2005,1,9,9,39.54758
2005,1,9,10,51.34612
2005,1,9,11,59.10455
2005,1,9,12,49.08879
2005,1,9,13,51.66414
2005,1,9,14,34.78026
2005,1,9,15,31.86181
2005,1,9,16,44.31526
2005,1,9,17,52.40502
2005,1,9,18,42.57023
2005,1,9,19,45.43145
2005,1,9,20,53.47118
2005,1,9,21,41.80075
2005,1,9,22,37.13976
2005,1,9,23,29.68623
2005,1,9,24,19.37153
2005,1,10,1,51.12614
2005,1,10,2,15.42739
2005,1,10,3,7.40372
2005,1,10,4,41.28673
2005,1,10,5,8.7296
2005,1,10,6,19.30457
2005,1,10,7,34.28102
2005,1,10,8,77.53972
2005,1,10,9,30.28005
2005,1,10,10,63.1479
2005,1,10,11,82.411
2005,1,10,12,82.411
2005,1,10,13,82.411
2005,1,10,14,81.98745
2005,1,10,15,58.51549
2005,1,10,16,54.67448
2005,1,10,17,58.37618
2005,1,10,18,58.34333
2005,1,10,19,52.58385
2005,1,10,20,52.25667
2005,1,10,21,44.48929
2005,1,10,22,33.43932
2005,1,10,23,29.60985
2005,1,10,24,4.73639
2005,1,11,1,30.8256
2005,1,11,2,39.95326
2005,1,11,3,11.648
2005,1,11,4,0.37304
2005,1,11,5,14.00839
2005,1,11,6,7.99226
2005,1,11,7,19.31362
2005,1,11,8,45.77008
2005,1,11,9,2.94124
2005,1,11,10,33.50891
2005,1,11,11,25.07919
2005,1,11,12,34.98716
2005,1,11,13,44.32051
2005,1,11,14,35.2443
2005,1,11,15,38.62801
2005,1,11,16,32.26259
2005,1,11,17,35.83642
2005,1,11,18,51.99894
2005,1,11,19,54.36677
2005,1,11,20,42.95742
2005,1,11,21,38.91843
2005,1,11,22,33.22848
2005,1,11,23,35.05166
2005,1,11,24,26.64124
2005,1,12,1,58.9906
2005,1,12,2,59.64523
2005,1,12,3,52.55731
2005,1,12,4,42.56859
2005,1,12,5,51.17368
2005,1,12,6,42.91053
2005,1,12,7,74.54238
2005,1,12,8,60.23968
2005,1,12,9,48.73242
2005,1,12,10,51.12433
2005,1,12,11,55.45004
2005,1,12,12,49.58897
2005,1,12,13,48.34415
2005,1,12,14,49.00745
2005,1,12,15,42.28745
2005,1,12,16,42.05517
2005,1,12,17,42.71861
2005,1,12,18,53.67892
2005,1,12,19,57.63495
2005,1,12,20,55.96178
2005,1,12,21,54.56872
2005,1,12,22,27.17222
2005,1,12,23,39.80571
2005,1,12,24,40.05772
2005,1,13,1,28.47327
2005,1,13,2,52.63126
2005,1,13,3,55.001
2005,1,13,4,54.3432
2005,1,13,5,54.59587
2005,1,13,6,61.28547
2005,1,13,7,161.75695
2005,1,13,8,61.64197
2005,1,13,9,58.06134
2005,1,13,10,63.74678
2005,1,13,11,65.02986
2005,1,13,12,57.81403
2005,1,13,13,62.60046
2005,1,13,14,61.5026
2005,1,13,15,61.73494
2005,1,13,16,57.36729
2005,1,13,17,102.14673
2005,1,13,18,178.685
2005,1,13,19,81.84903
2005,1,13,20,55.6599
2005,1,13,21,48.1861
2005,1,13,22,34.88538
2005,1,13,23,48.52158
2005,1,13,24,25.47102
2005,1,14,1,67.43803
2005,1,14,2,57.60328
2005,1,14,3,37.04434
2005,1,14,4,39.72695
2005,1,14,5,44.42639
2005,1,14,6,88.51539
2005,1,14,7,166.21294
2005,1,14,8,56.51204
2005,1,14,9,59.25106
2005,1,14,10,61.91444
2005,1,14,11,61.4399
2005,1,14,12,57.8213
2005,1,14,13,78.11627
2005,1,14,14,47.21364
2005,1,14,15,57.28225
2005,1,14,16,56.60626
2005,1,14,17,53.66644
2005,1,14,18,95.60788
2005,1,14,19,69.40484
2005,1,14,20,62.14299
2005,1,14,21,49.61338
2005,1,14,22,47.97286
2005,1,14,23,52.62121
2005,1,14,24,81.28617
2005,1,15,1,69.83897
2005,1,15,2,50.58536
2005,1,15,3,91.04664
2005,1,15,4,55.41093
2005,1,15,5,55.7802
2005,1,15,6,40.53507
2005,1,15,7,47.21616
2005,1,15,8,14.59827
2005,1,15,9,20.12899
2005,1,15,10,41.78543
2005,1,15,11,40.21044
2005,1,15,12,42.09659
2005,1,15,13,39.89541
2005,1,15,14,38.8329
2005,1,15,15,33.31578
2005,1,15,16,39.62448
2005,1,15,17,16.16698
2005,1,15,18,59.02306
2005,1,15,19,49.28409
2005,1,15,20,52.83025
2005,1,15,21,56.77909
2005,1,15,22,57.17404
2005,1,15,23,33.99531
2005,1,15,24,79.28068
2005,1,16,1,98.68918
2005,1,16,2,22.69017
2005,1,16,3,8.63283
2005,1,16,4,4.31223
2005,1,16,5,8.71997
2005,1,16,6,43.62833
2005,1,16,7,18.10885
2005,1,16,8,27.62236
2005,1,16,9,85.25711
2005,1,16,10,48.16125
2005,1,16,11,35.41052
2005,1,16,12,31.79689
2005,1,16,13,39.77056
2005,1,16,14,28.5333
2005,1,16,15,12.26408
2005,1,16,16,60.04432
2005,1,16,17,45.09607
2005,1,16,18,31.69416
2005,1,16,19,47.02637
2005,1,16,20,37.6076
2005,1,16,21,48.72488
2005,1,16,22,49.78924
2005,1,16,23,45.22689
2005,1,16,24,90.9391
2005,1,17,1,23.87124
2005,1,17,2,21.19434
2005,1,17,3,23.69472
2005,1,17,4,35.21483
2005,1,17,5,22.03151
2005,1,17,6,62.17222
2005,1,17,7,23.72311
2005,1,17,8,33.0536
2005,1,17,9,27.24933
2005,1,17,10,41.58554
2005,1,17,11,63.32712
2005,1,17,12,53.91913
2005,1,17,13,53.6705
2005,1,17,14,51.15513
2005,1,17,15,45.77909
2005,1,17,16,48.51044
2005,1,17,17,35.65641
2005,1,17,18,144.69148
2005,1,17,19,155.06713
2005,1,17,20,74.52266
2005,1,17,21,28.76221
2005,1,17,22,35.79095
2005,1,17,23,36.21346
2005,1,17,24,19.80292
2005,1,18,1,11.12416
2005,1,18,2,66.47212
2005,1,18,3,44.37573
2005,1,18,4,3.11526
2005,1,18,5,18.06435
2005,1,18,6,58.52326
2005,1,18,7,73.46317
2005,1,18,8,37.5429
2005,1,18,9,52.53078
2005,1,18,10,51.93323
2005,1,18,11,79.74686
2005,1,18,12,111.87683
2005,1,18,13,96.70629
2005,1,18,14,88.47586
2005,1,18,15,165.00101
2005,1,18,16,65.42826
2005,1,18,17,58.50629
2005,1,18,18,107.12165
2005,1,18,19,101.92117
2005,1,18,20,73.78649
2005,1,18,21,27.84409
2005,1,18,22,33.56256
2005,1,18,23,35.06336
2005,1,18,24,34.00054
2005,1,19,1,47.53588
2005,1,19,2,55.92624
2005,1,19,3,32.91019
2005,1,19,4,50.72085
2005,1,19,5,38.58445
2005,1,19,6,37.1916
2005,1,19,7,69.5655
2005,1,19,8,56.28818
2005,1,19,9,67.32685
2005,1,19,10,57.46696
2005,1,19,11,55.19447
2005,1,19,12,63.51405
2005,1,19,13,64.94878
2005,1,19,14,72.49688
2005,1,19,15,70.17965
2005,1,19,16,66.05615
2005,1,19,17,64.61147
2005,1,19,18,87.91542
2005,1,19,19,69.9156
